labels,low,medium,high,total
1572,0,0,1,1
1573,0,1,0,1
1574,0,0,1,1
1582,0,1,0,1
1590,0,0,1,1
1605,0,1,0,1
1607,0,1,0,1
1608,1,0,0,1
1616,0,1,0,1
1621,0,0,1,1
1636,1,0,0,1
1644,0,1,0,1
1676,0,2,0,2
1679,0,0,2,2
1683,0,6,2,8
1689,0,0,1,1
1702,0,1,0,1
1703,1,1,4,6
1707,0,0,1,1
1708,0,1,0,1
1721,1,0,3,4
1722,0,1,1,2
1733,0,0,0,0
1746,0,1,0,1
1751,0,0,1,1
1764,0,0,1,1
1767,0,1,0,1
1768,0,0,0,0
1773,0,1,0,1
1784,0,1,0,1
1787,0,1,0,1
1804,0,0,1,1
1810,0,0,1,1
1815,1,0,0,1
1819,0,1,0,1
1824,0,0,0,0
1834,0,0,1,1
1838,0,1,0,1
1844,0,4,1,5
1868,0,2,1,3
1875,0,3,0,3
1877,0,1,0,1
1882,0,2,0,2
1895,0,0,1,1
1913,0,1,0,1
1926,0,0,1,1
1932,0,1,0,1
1941,0,0,0,0
1964,0,1,0,1
1975,0,0,0,0
1978,0,0,1,1
1991,0,0,1,1
1994,0,0,1,1
1999,0,1,0,1
2002,0,1,0,1
2010,0,1,0,1
2013,0,0,1,1
2034,0,0,1,1
2040,0,1,0,1
2074,0,1,0,1
2079,0,1,0,1
2096,0,0,1,1
2117,0,4,0,4
2121,0,1,0,1
2158,0,0,1,1
2163,0,2,0,2
2191,0,1,3,4
2192,0,1,0,1
2197,0,0,1,1
2204,0,1,0,1
2209,0,0,1,1
2251,0,1,0,1
2273,0,0,1,1
2301,1,1,0,2
2351,0,0,1,1
2372,0,0,1,1
2377,0,1,0,1
2448,0,1,0,1
2456,0,1,0,1
2475,0,1,0,1
2478,0,1,0,1
2494,0,1,0,1
2530,0,1,0,1
2641,1,0,0,1
2646,0,0,0,0
2786,0,1,1,2
2805,0,1,0,1
2841,0,0,1,1
2842,0,1,0,1
2845,0,1,0,1
2916,1,0,0,1
2920,0,0,1,1
2922,0,0,1,1
2926,1,0,0,1
2952,0,2,0,2
3002,0,1,0,1
3012,1,0,0,1
3123,0,0,1,1
3334,0,0,1,1
3340,0,1,0,1
3359,0,1,0,1
3425,0,1,0,1
3653,0,1,0,1
3708,0,0,1,1
4034,0,1,0,1
4139,0,0,1,1
4165,0,0,1,1
4693,0,1,0,1
4718,1,0,0,1
5079,0,1,0,1
5096,0,1,0,1
5508,0,0,1,1
